model,draw,method,n_per_type,top_share,top_type,deepest_type,rho_depth_share,share_pDC,argmax_agree_all,argmax_agree_informative
proximal,10,cpm_mean,112,0.1822791796746986,B,pDC,0.7142857142857144,0.15533746140710972,0.28640939597315435,0.57847533632287
proximal,10,archr_style,112,0.18816082239508772,B,pDC,0.7142857142857144,0.1756731117512117,0.30981543624161073,0.6158445440956651
proximal,11,raw_mean,112,0.24259620194214948,pDC,DC,0.9523809523809524,0.24259620194214948,0.31409395973154364,0.609118086696562
proximal,11,zscale_mean,112,0.2636562774893492,pDC,DC,0.9523809523809524,0.2636562774893492,0.3136744966442953,0.6128550074738416
proximal,11,lognorm_mean,112,0.20185590837746004,B,DC,0.7857142857142858,0.17717370681477138,0.3163590604026846,0.6128550074738416
proximal,11,pseudobulk_cpm,112,0.17767390516929127,B,DC,0.261904761904762,0.14566121048001793,0.3068791946308725,0.5964125560538116
proximal,11,depth_matched,112,0.27471238594615105,B,DC,0.7857142857142858,0.14678234472290735,0.31157718120805367,0.6113602391629297
proximal,11,cpm_mean,112,0.18143401693775119,B,DC,0.6428571428571429,0.1572002690722183,0.2891778523489933,0.5597907324364724
proximal,11,archr_style,112,0.20185590837746004,B,DC,0.7857142857142858,0.17717370681477138,0.3163590604026846,0.6128550074738416
proximal,12,raw_mean,112,0.2732807837590769,pDC,pDC,0.8333333333333335,0.2732807837590769,0.3199664429530201,0.5979073243647235
proximal,12,zscale_mean,112,0.29689359573624025,pDC,pDC,0.8333333333333335,0.29689359573624025,0.3208053691275168,0.600896860986547
proximal,12,lognorm_mean,112,0.17684599065146522,pDC,pDC,0.880952380952381,0.17684599065146522,0.3063758389261745,0.5994020926756353
proximal,12,pseudobulk_cpm,112,0.18308984597340325,Mono_CD14,pDC,0.4761904761904762,0.14571295513738206,0.3068791946308725,0.594170403587444
proximal,12,depth_matched,112,0.2258136847370509,B,pDC,0.8333333333333335,0.1552684685306242,0.3156879194630873,0.6128550074738416
proximal,12,cpm_mean,112,0.17867430187833105,B,pDC,0.7619047619047621,0.15473377373786157,0.28557046979865774,0.5650224215246636
proximal,12,archr_style,112,0.17684599065146522,pDC,pDC,0.880952380952381,0.17684599065146522,0.3063758389261745,0.5994020926756353
