model,method,corr,cell_type,n_test,recall,confusion
proximal,depth_matched,spearman,T_CD8,1137,0.6657871591908531,B:0; DC:0; Mono_CD14:2; Mono_CD16:0; NK:355; T_CD4:23; T_CD8:757; pDC:0
proximal,depth_matched,spearman,pDC,56,1.0,B:0; DC:0; Mono_CD14:0; Mono_CD16:0; NK:0; T_CD4:0; T_CD8:0; pDC:56
proximal,cpm_mean,pearson,B,397,0.9949622166246851,B:395; DC:1; Mono_CD14:0; Mono_CD16:0; NK:0; T_CD4:1; T_CD8:0; pDC:0
proximal,cpm_mean,pearson,DC,111,0.7747747747747747,B:0; DC:86; Mono_CD14:18; Mono_CD16:0; NK:0; T_CD4:2; T_CD8:5; pDC:0
proximal,cpm_mean,pearson,Mono_CD14,1572,0.9357506361323156,B:8; DC:13; Mono_CD14:1471; Mono_CD16:20; NK:34; T_CD4:13; T_CD8:12; pDC:1
proximal,cpm_mean,pearson,Mono_CD16,221,0.8190045248868778,B:1; DC:1; Mono_CD14:38; Mono_CD16:181; NK:0; T_CD4:0; T_CD8:0; pDC:0
proximal,cpm_mean,pearson,NK,341,0.8504398826979472,B:0; DC:0; Mono_CD14:0; Mono_CD16:0; NK:290; T_CD4:19; T_CD8:32; pDC:0
proximal,cpm_mean,pearson,T_CD4,1771,0.9582156973461321,B:1; DC:2; Mono_CD14:0; Mono_CD16:0; NK:3; T_CD4:1697; T_CD8:67; pDC:1
proximal,cpm_mean,pearson,T_CD8,1137,0.6657871591908531,B:0; DC:0; Mono_CD14:1; Mono_CD16:0; NK:296; T_CD4:82; T_CD8:757; pDC:1
proximal,cpm_mean,pearson,pDC,56,0.9642857142857143,B:0; DC:0; Mono_CD14:0; Mono_CD16:0; NK:0; T_CD4:2; T_CD8:0; pDC:54
proximal,cpm_mean,spearman,B,397,0.9974811083123426,B:396; DC:0; Mono_CD14:1; Mono_CD16:0; NK:0; T_CD4:0; T_CD8:0; pDC:0
proximal,cpm_mean,spearman,DC,111,0.8738738738738738,B:0; DC:97; Mono_CD14:2; Mono_CD16:8; NK:0; T_CD4:1; T_CD8:1; pDC:2
proximal,cpm_mean,spearman,Mono_CD14,1572,0.383587786259542,B:7; DC:9; Mono_CD14:603; Mono_CD16:907; NK:26; T_CD4:10; T_CD8:10; pDC:0
proximal,cpm_mean,spearman,Mono_CD16,221,0.9909502262443439,B:0; DC:1; Mono_CD14:1; Mono_CD16:219; NK:0; T_CD4:0; T_CD8:0; pDC:0
proximal,cpm_mean,spearman,NK,341,0.9002932551319648,B:0; DC:0; Mono_CD14:0; Mono_CD16:0; NK:307; T_CD4:6; T_CD8:28; pDC:0
proximal,cpm_mean,spearman,T_CD4,1771,0.9265951439864484,B:0; DC:0; Mono_CD14:4; Mono_CD16:0; NK:22; T_CD4:1641; T_CD8:104; pDC:0
proximal,cpm_mean,spearman,T_CD8,1137,0.673702726473175,B:0; DC:0; Mono_CD14:2; Mono_CD16:0; NK:332; T_CD4:37; T_CD8:766; pDC:0
proximal,cpm_mean,spearman,pDC,56,1.0,B:0; DC:0; Mono_CD14:0; Mono_CD16:0; NK:0; T_CD4:0; T_CD8:0; pDC:56
proximal,archr_style,pearson,B,397,0.9974811083123426,B:396; DC:1; Mono_CD14:0; Mono_CD16:0; NK:0; T_CD4:0; T_CD8:0; pDC:0
proximal,archr_style,pearson,DC,111,0.8738738738738738,B:0; DC:97; Mono_CD14:10; Mono_CD16:0; NK:0; T_CD4:0; T_CD8:4; pDC:0
proximal,archr_style,pearson,Mono_CD14,1572,0.9147582697201018,B:6; DC:17; Mono_CD14:1438; Mono_CD16:54; NK:30; T_CD4:10; T_CD8:13; pDC:4
proximal,archr_style,pearson,Mono_CD16,221,0.9683257918552036,B:1; DC:1; Mono_CD14:5; Mono_CD16:214; NK:0; T_CD4:0; T_CD8:0; pDC:0
proximal,archr_style,pearson,NK,341,0.8563049853372434,B:0; DC:0; Mono_CD14:0; Mono_CD16:0; NK:292; T_CD4:12; T_CD8:37; pDC:0
proximal,archr_style,pearson,T_CD4,1771,0.9333709768492378,B:1; DC:3; Mono_CD14:0; Mono_CD16:0; NK:5; T_CD4:1653; T_CD8:109; pDC:0
proximal,archr_style,pearson,T_CD8,1137,0.6939313984168866,B:0; DC:0; Mono_CD14:1; Mono_CD16:0; NK:309; T_CD4:36; T_CD8:789; pDC:2
proximal,archr_style,pearson,pDC,56,0.9821428571428571,B:0; DC:0; Mono_CD14:0; Mono_CD16:0; NK:0; T_CD4:0; T_CD8:1; pDC:55
proximal,archr_style,spearman,B,397,0.9974811083123426,B:396; DC:0; Mono_CD14:1; Mono_CD16:0; NK:0; T_CD4:0; T_CD8:0; pDC:0
proximal,archr_style,spearman,DC,111,0.9099099099099099,B:0; DC:101; Mono_CD14:2; Mono_CD16:5; NK:0; T_CD4:0; T_CD8:1; pDC:2
proximal,archr_style,spearman,Mono_CD14,1572,0.3193384223918575,B:7; DC:19; Mono_CD14:502; Mono_CD16:999; NK:25; T_CD4:9; T_CD8:11; pDC:0
