12:56:39 total_rss_GB=24.22 n_jobs=3
12:56:49 total_rss_GB=29.55 n_jobs=3
12:56:59 total_rss_GB=31.48 n_jobs=3
12:57:09 total_rss_GB=32.10 n_jobs=3
13:22:59 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:23:09 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:23:09 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:23:19 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:23:19 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:23:29 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:23:29 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:23:39 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:23:40 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:23:49 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:23:50 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:23:59 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:24:00 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:24:09 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:24:10 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:24:19 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:24:20 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:24:29 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:24:30 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:24:39 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:24:40 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:24:50 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:24:50 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:25:00 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:25:00 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:25:10 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:25:10 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:25:20 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:25:20 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:25:30 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
