cohort,model,sample_left_out,n_cells,n_types,method,top_share,top_type
LUAD,proximal,GSM8069383,53308,6,raw_mean,0.6605299098606938,B_cell
LUAD,proximal,GSM8069383,53308,6,cpm_mean,0.2518983884184649,T_NK
LUAD,proximal,GSM8069383,53308,6,lognorm_mean,0.3682600382409178,T_NK
LUAD,proximal,GSM8069383,53308,6,pseudobulk_cpm,0.24059000273149414,B_cell
LUAD,proximal,GSM8069383,53308,6,depth_matched,0.2828189019393608,T_NK
LUAD,proximal,GSM8069384,51132,6,raw_mean,0.7010750329091707,B_cell
LUAD,proximal,GSM8069384,51132,6,cpm_mean,0.24303422553751647,T_NK
LUAD,proximal,GSM8069384,51132,6,lognorm_mean,0.3390193067134708,T_NK
LUAD,proximal,GSM8069384,51132,6,pseudobulk_cpm,0.2531812198332602,B_cell
LUAD,proximal,GSM8069384,51132,6,depth_matched,0.26969065379552437,T_NK
