gene,argmax_cell_type,argmax_after_unshift
MRPL51,Mast,Mast
MRPL52,Mast,Mast
MRPL57,Mast,Mast
MRPS12,Mast,Mast
MRPS15,Mast,Mast
MRPS21,Mast,Mast
MRPS26,Mast,Mast
MRPS33,Mast,Mast
MRPS34,Mast,Mast
MRPS35,Mast,Mast
MS4A1,B_cell,B_cell
MS4A2,Mast,Mast
MS4A4A,B_cell,B_cell
MS4A6A,B_cell,B_cell
MS4A7,B_cell,B_cell
MSN,Mast,Mast
MSR1,Mast,Mast
MT-ATP6,B_cell,B_cell
MT-CO1,B_cell,B_cell
MT-CO2,B_cell,B_cell
MT-CO3,B_cell,B_cell
MT-CYB,B_cell,B_cell
MT-ND1,B_cell,B_cell
MT-ND2,B_cell,B_cell
MT-ND3,B_cell,B_cell
MT-ND4,B_cell,B_cell
MT-ND4L,B_cell,B_cell
MT-ND5,B_cell,B_cell
MT1E,Mast,Mast
MT1G,Mast,Mast
MT1X,Mast,Mast
MT2A,Mast,Mast
MTCH1,Mast,Mast
MTCH2,Mast,Mast
MTDH,Mast,Mast
MTRNR2L12,Endothelial,Endothelial
MTRNR2L8,Mast,Mast
MUC1,Mast,Mast
MUC12,Mast,Mast
MUC13,Mast,Mast
MUC3A,Mast,Mast
MVP,Mast,Mast
MXD1,Mast,Mast
MXRA8,Mast,Mast
MYADM,Mast,Mast
MYC,Mast,Mast
MYDGF,Mast,Mast
MYH14,Mast,Mast
MYH9,Mast,Mast
MYL12A,Mast,Mast
MYL12B,Mast,Mast
MYL6,Mast,Mast
MYL9,Mast,Mast
MYLK,Mast,Mast
MZB1,Mast,Mast
MZT2A,Mast,Mast
MZT2B,Mast,Mast
NAA10,Mast,Mast
NAA20,Mast,Mast
NAA38,Mast,Mast
NACA,Mast,Mast
NAMPT,Mast,Mast
NAP1L1,Mast,Mast
NBEAL1,Mast,Mast
NBL1,Mast,Mast
NCF1,Mast,Mast
NCF2,Mast,Mast
NCL,B_cell,B_cell
NCOA7,Mast,Mast
NDFIP1,Mast,Mast
NDFIP2,Mast,Mast
NDN,Mast,Mast
NDRG1,Mast,Mast
NDUFA1,Mast,Mast
NDUFA11,Mast,Mast
NDUFA12,Mast,Mast
NDUFA13,Mast,Mast
NDUFA2,Mast,Mast
NDUFA4,Mast,Mast
NDUFA4L2,Mast,Mast
NDUFA8,Mast,Mast
NDUFAB1,Mast,Mast
NDUFB1,Mast,Mast
NDUFB10,Mast,Mast
NDUFB11,Mast,Mast
NDUFB2,Mast,Mast
NDUFB3,Mast,Mast
NDUFB4,Mast,Mast
NDUFB5,Mast,Mast
NDUFB7,Mast,Mast
NDUFB8,Mast,Mast
NDUFB9,Mast,Mast
NDUFC1,Mast,Mast
NDUFC2,Mast,Mast
NDUFS4,Mast,Mast
NDUFS5,Mast,Mast
NDUFS6,Mast,Mast
NDUFS7,Mast,Mast
NDUFS8,Mast,Mast
NDUFV2,Mast,Mast
NEAT1,Mast,Mast
NEDD8,Mast,Mast
NENF,Mast,Mast
NET1,Mast,Mast
NFAT5,Mast,Mast
NFE2L2,Mast,Mast
NFIA,Mast,Mast
NFIB,Mast,Mast
NFIC,Mast,Mast
NFKB1,Mast,Mast
NFKB2,Mast,Mast
NFKBIA,Mast,Mast
NFKBID,B_cell,B_cell
NFKBIZ,Mast,Mast
NHP2,Mast,Mast
NID1,Mast,Mast
NINJ1,Mast,Mast
NKG7,B_cell,B_cell
NLRP3,B_cell,B_cell
NME1,Mast,Mast
NME4,Mast,Mast
NNMT,Mast,Mast
NOL7,Mast,Mast
NONO,Mast,Mast
NOP10,Mast,Mast
NPC2,Mast,Mast
NPDC1,Mast,Mast
NPM1,Mast,Mast
NPM3,Mast,Mast
NQO1,Mast,Mast
NR2F2,Mast,Mast
NR3C1,B_cell,B_cell
NR4A1,Mast,Mast
NR4A2,Mast,Mast
NR4A3,Mast,Mast
NSA2,Mast,Mast
