cohort,mixture_variant,geneset,method,truth,rmse_mean,rmse_sd,r_mean,r_sd,bias_deepest_mean,bias_deepest_sd,deepest_type,n_genes_mean,n_degenerate
COAD,rawsum,common,zscale_mean,fragfrac,0.09778273914420461,0.007561659973348842,0.8409418329405552,0.025246866837252264,0.017712287384386804,0.03739995830131215,Mast,1600.0,0
COAD,rawsum,own,cpm_mean,cellfrac,0.1652736250015201,0.015187700581762734,0.20417914093258935,0.04807890669258562,0.22387922490005938,0.11300924435036142,Mast,1600.0,0
COAD,rawsum,own,cpm_mean,fragfrac,0.15010209753781986,0.02643557622115219,0.5843483698673219,0.11879153437489776,-0.06326066021048705,0.11845911008534504,Mast,1600.0,0
COAD,rawsum,own,depth_matched,cellfrac,0.13121355077452793,0.003720134456743028,0.3016862512456017,0.019335923021496164,0.11625998966382305,0.0487389724539082,Mast,1600.0,0
COAD,rawsum,own,depth_matched,fragfrac,0.146634768134884,0.013301390669086064,0.569627703528912,0.07952641358074025,-0.17087989544672336,0.05265302315139614,Mast,1600.0,0
COAD,rawsum,own,lognorm_mean,cellfrac,0.15161000516381143,0.006570464937139473,0.34453869166259415,0.02707804667545217,0.040680459805314706,0.01135515749952664,Mast,1600.0,0
COAD,rawsum,own,lognorm_mean,fragfrac,0.18684328972620098,0.006179540360614093,0.3547418176533565,0.06962046807388612,-0.2464594253052318,0.0015464024235458832,Mast,1600.0,0
COAD,rawsum,own,lognorm_mean_expm1,cellfrac,0.17002114378600897,0.008514395305234903,0.2643956470767427,0.03544299582585304,0.034266681891019994,0.0030497358302305575,Mast,1600.0,0
COAD,rawsum,own,lognorm_mean_expm1,fragfrac,0.20529475935696773,0.007069207712407102,0.2710629791677824,0.049573723117744155,-0.2528732032195265,0.008689853537664929,Mast,1600.0,0
COAD,rawsum,own,pseudobulk_cpm,cellfrac,0.1569460623530706,0.0047498850657898845,0.500207559507394,0.03228040895735427,0.30175011965460213,0.0289346153779164,Mast,1600.0,0
COAD,rawsum,own,pseudobulk_cpm,fragfrac,0.04126083284982811,0.0011610211060450368,0.9733755831243128,0.0014783396650655,0.014610234544055604,0.019121941725721715,Mast,1600.0,0
COAD,rawsum,own,raw_mean,cellfrac,0.07580067902835481,0.005726259080341045,0.7857107584911538,0.03284807828019467,-0.006362453717934156,0.016784032165183992,Mast,1543.0,0
COAD,rawsum,own,raw_mean,fragfrac,0.16442679454657225,0.010787331077788474,0.4441992828630137,0.05690366832184786,-0.2935023388284806,0.016236405900564937,Mast,1543.0,0
COAD,rawsum,own,zscale_mean,cellfrac,0.22754089267282518,0.005309421512169936,0.060346283484338355,0.05371152176075683,0.2129508908135013,0.03368676364051397,Mast,1313.6666666666667,0
COAD,rawsum,own,zscale_mean,fragfrac,0.195590467201015,0.00655916840383437,0.4867403188065851,0.018777593505576003,-0.07418899429704517,0.037213818229909795,Mast,1313.6666666666667,0
HCC,cellnorm,common,cpm_mean,cellfrac,0.04156257522831909,0.01460125928645672,0.9527942626509294,0.028184975062420826,-0.008426793524226027,0.006566147261991629,Endothelial_stromal,1200.0,0
