cohort,seed,mixture_variant,geneset,method,truth,n_genes,rmse,pearson_r,n_degenerate,deepest_type,bias_deepest,max_abs_bias_type,max_abs_bias,bias__B_cell,bias__CD4_T,bias__Endothelial_stromal,bias__Hepatocyte,bias__Macrophage,bias__NK_cytotoxic_T,bias__Endothelial,bias__Epithelial,bias__Fibroblast,bias__Mast,bias__Other_Myeloid,bias__T_NK
HCC,0,cellnorm,common,zscale_mean,fragfrac,1200,0.1858418287778159,0.1645725777778628,0,Endothelial_stromal,-0.07602685828776608,NK_cytotoxic_T,0.27582499294161095,-0.12601252835758578,-0.10799392080464465,-0.07602685828776608,-0.019832640588130643,0.05404095509651638,0.27582499294161095,,,,,,
HCC,0,cellnorm,common,lognorm_mean,cellfrac,1200,0.042986178586695394,0.9561760622204863,0,Endothelial_stromal,-0.008299963838924106,Hepatocyte,0.05151876815482996,-0.008069595409609737,-0.013582996603635907,-0.008299963838924106,0.05151876815482996,-0.0068804482769633645,-0.014685764025696846,,,,,,
HCC,0,cellnorm,common,lognorm_mean,fragfrac,1200,0.06944813559828275,0.8920823694352347,0,Endothelial_stromal,-0.08587480912077615,Endothelial_stromal,0.08587480912077615,-0.04222468274819208,0.041943082591719395,-0.08587480912077615,0.03984158540562181,0.030974290579051975,0.015340533292575035,,,,,,
HCC,0,cellnorm,common,lognorm_mean_expm1,cellfrac,1200,0.03839754615199607,0.9652670722832654,0,Endothelial_stromal,-0.009904157486555437,Hepatocyte,0.023142163083713262,-0.01979785281964245,0.01679504355399942,-0.009904157486555437,0.023142163083713262,-0.004922338854743825,-0.005312857476771,,,,,,
HCC,0,cellnorm,common,lognorm_mean_expm1,fragfrac,1200,0.07505354700513148,0.8703422822623441,0,Endothelial_stromal,-0.08747900276840745,Endothelial_stromal,0.08747900276840745,-0.053952940158224785,0.07232112274935472,-0.08747900276840745,0.011464980334505126,0.03293240000127149,0.024713439841500887,,,,,,
HCC,0,cellnorm,common,pseudobulk_cpm,cellfrac,1200,0.03536587405912587,0.9699444911891564,0,Endothelial_stromal,-0.008111731227963333,CD4_T,0.00842092132493278,0.0004932858383484226,0.00842092132493278,-0.008111731227963333,0.00652848132328947,-0.0027337935372728005,-0.004597163721334529,,,,,,
HCC,0,cellnorm,common,pseudobulk_cpm,fragfrac,1200,0.06756066983409113,0.8967347686031881,0,Endothelial_stromal,-0.08568657650981536,Endothelial_stromal,0.08568657650981536,-0.03366180150023389,0.06394700052028808,-0.08568657650981536,-0.005148701425918674,0.03512094531874252,0.02542913359693736,,,,,,
HCC,0,cellnorm,common,depth_matched,cellfrac,1200,0.041416514018820114,0.9594303874151248,0,Endothelial_stromal,-0.011531857914522008,CD4_T,0.037760695086105384,-0.025918874965427694,0.037760695086105384,-0.011531857914522008,0.008895261872932445,0.00408533006326118,-0.013290554142349318,,,,,,
HCC,0,cellnorm,common,depth_matched,fragfrac,1200,0.0797505445649454,0.8523787992285531,0,Endothelial_stromal,-0.08910670319637404,CD4_T,0.0932867742814607,-0.06007396230401002,0.0932867742814607,-0.08910670319637404,-0.002781920876275692,0.041940068919276506,0.01673574317592257,,,,,,
HCC,0,cellnorm,common,cpm_mean,cellfrac,1200,0.053431918555878914,0.930122723323511,0,Endothelial_stromal,-0.0076687866723497925,B_cell,0.05605411556284303,-0.05605411556284303,0.05388286186241241,-0.0076687866723497925,0.014597695162644727,0.007474383032703885,-0.01223203782256822,,,,,,
