cohort,seed,cell_type,rank,gene
HCC,0,CD4_T,55,RNA5SP521
HCC,0,CD4_T,56,CCR4
HCC,0,CD4_T,57,RP5-1037N22.2
HCC,0,CD4_T,58,RNU6-356P
HCC,0,CD4_T,59,MTND3P4
HCC,0,CD4_T,60,RP11-368N21.1
HCC,0,CD4_T,61,FRGCA
HCC,0,CD4_T,62,LLfos-22E10.1
HCC,0,CD4_T,63,AC104978.1
HCC,0,CD4_T,64,B3GALNT1P1
HCC,0,CD4_T,65,GS1-53I10.2
HCC,0,CD4_T,66,RNU6-463P
HCC,0,CD4_T,67,RNU6-434P
HCC,0,CD4_T,68,RP11-467M13.3
HCC,0,CD4_T,69,MTHFD1P1
HCC,0,CD4_T,70,LINC00852
HCC,0,CD4_T,71,SRIP1
HCC,0,CD4_T,72,SNORD111B
HCC,0,CD4_T,73,RP11-367H1.1
HCC,0,CD4_T,74,BNIP3P29
HCC,0,CD4_T,75,RNU6-405P
HCC,0,CD4_T,76,CTD-2002J20.1
HCC,0,CD4_T,77,AMMECR1-IT1
HCC,0,CD4_T,78,TXNP5
HCC,0,CD4_T,79,AC105393.2
HCC,0,CD4_T,80,RP11-325O24.2
HCC,0,CD4_T,81,RP11-131M11.2
HCC,0,CD4_T,82,ULK4P2
HCC,0,CD4_T,83,RNA5SP404
HCC,0,CD4_T,84,RP11-1212A22.8
HCC,0,CD4_T,85,MIR1323
HCC,0,CD4_T,86,AC074366.3
HCC,0,CD4_T,87,RP11-510M2.7
HCC,0,CD4_T,88,RN7SL693P
HCC,0,CD4_T,89,RP11-56B16.1
HCC,0,CD4_T,90,RNA5SP394
HCC,0,CD4_T,91,RP11-574K11.26
HCC,0,CD4_T,92,YWHAQP5
HCC,0,CD4_T,93,MTCO3P41
HCC,0,CD4_T,94,RP11-313H3.1
HCC,0,CD4_T,95,RP11-386M24.5
HCC,0,CD4_T,96,RP11-661C8.4
HCC,0,CD4_T,97,TRBV3-1
HCC,0,CD4_T,98,CTC-311G1.1
HCC,0,CD4_T,99,IGHD3OR15-3B
HCC,0,CD4_T,100,TTTY8
HCC,0,CD4_T,101,TTTY1
HCC,0,CD4_T,102,RPL12P16
HCC,0,CD4_T,103,ABHD17AP8
HCC,0,CD4_T,104,UST-AS2
HCC,0,CD4_T,105,RP4-784A16.4
HCC,0,CD4_T,106,SNX18P12
HCC,0,CD4_T,107,HNRNPA1P63
HCC,0,CD4_T,108,RP1-281H8.3
HCC,0,CD4_T,109,AP001429.1
